name,dataset,version,country,x,y,fld_prop,nonfld_prop,null_prop,window_a,window_b,mask,split
g13-5_00023_5,ftw,1.0.0,sweden,16.757550809999998,59.72543577,0.2258148193359375,0.7741851806640625,0.0,ftw/sweden/s2_images/window_a/g13-5_00023_5.tif,ftw/sweden/s2_images/window_b/g13-5_00023_5.tif,ftw/sweden/label_masks/semantic_3class/g13-5_00023_5.tif,train
g10_00078_13,ftw,1.0.0,estonia,25.361010675000003,58.647779189999994,0.0,1.0,0.0,ftw/estonia/s2_images/window_a/g10_00078_13.tif,ftw/estonia/s2_images/window_b/g10_00078_13.tif,ftw/estonia/label_masks/semantic_3class/g10_00078_13.tif,train
g79_00029_2,ftw,1.0.0,austria,14.42530089,48.419365995,0.1672821044921875,0.8327178955078125,0.0,ftw/austria/s2_images/window_a/g79_00029_2.tif,ftw/austria/s2_images/window_b/g79_00029_2.tif,ftw/austria/label_masks/semantic_3class/g79_00029_2.tif,validate
g6_00019_18,ftw,1.0.0,denmark,8.91458568,55.72580013,0.6827392578125,0.3172607421875,0.0,ftw/denmark/s2_images/window_a/g6_00019_18.tif,ftw/denmark/s2_images/window_b/g6_00019_18.tif,ftw/denmark/label_masks/semantic_3class/g6_00019_18.tif,train
g2_00022_17,ftw,1.0.0,slovakia,17.54718966,48.26625804,0.975677490234375,0.024322509765625,0.0,ftw/slovakia/s2_images/window_a/g2_00022_17.tif,ftw/slovakia/s2_images/window_b/g2_00022_17.tif,ftw/slovakia/label_masks/semantic_3class/g2_00022_17.tif,train
g6-0_00093_9,ftw,1.0.0,sweden,13.38124788,55.55246697,0.3749237060546875,0.6250762939453125,0.0,ftw/sweden/s2_images/window_a/g6-0_00093_9.tif,ftw/sweden/s2_images/window_b/g6-0_00093_9.tif,ftw/sweden/label_masks/semantic_3class/g6-0_00093_9.tif,test
g165_00048_10,ftw,1.0.0,france,0.4278374100000001,46.75950278999999,0.0354766845703125,0.9645233154296876,0.0,ftw/france/s2_images/window_a/g165_00048_10.tif,ftw/france/s2_images/window_b/g165_00048_10.tif,ftw/france/label_masks/semantic_3class/g165_00048_10.tif,test
g14-1_00040_1,ftw,1.0.0,finland,22.97853558,61.15246137,0.3222503662109375,0.6777496337890625,0.0,ftw/finland/s2_images/window_a/g14-1_00040_1.tif,ftw/finland/s2_images/window_b/g14-1_00040_1.tif,ftw/finland/label_masks/semantic_3class/g14-1_00040_1.tif,train
g165_00072_2,ftw,1.0.0,france,0.52441389,46.635313725,0.0,1.0,0.0,ftw/france/s2_images/window_a/g165_00072_2.tif,ftw/france/s2_images/window_b/g165_00072_2.tif,ftw/france/label_masks/semantic_3class/g165_00072_2.tif,train
g8_00114_6,ftw,1.0.0,lithuania,22.80763485,55.820034269999994,0.0778656005859375,0.9221343994140624,0.0,ftw/lithuania/s2_images/window_a/g8_00114_6.tif,ftw/lithuania/s2_images/window_b/g8_00114_6.tif,ftw/lithuania/label_masks/semantic_3class/g8_00114_6.tif,train
g165_00050_8,ftw,1.0.0,france,0.24846822,46.74571902,0.3378753662109375,0.6621246337890625,0.0,ftw/france/s2_images/window_a/g165_00050_8.tif,ftw/france/s2_images/window_b/g165_00050_8.tif,ftw/france/label_masks/semantic_3class/g165_00050_8.tif,validate
g10-3_00083_12,ftw,1.0.0,croatia,17.108406315000003,45.65599037999999,0.2714996337890625,0.7285003662109375,0.0,ftw/croatia/s2_images/window_a/g10-3_00083_12.tif,ftw/croatia/s2_images/window_b/g10-3_00083_12.tif,ftw/croatia/label_masks/semantic_3class/g10-3_00083_12.tif,train
